country,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,cluster,hierarchical_cluster,PC1,PC2
Finland,Western Europe,7.741,1.844,1.572,0.695,0.859,0.142,0.546,2,2,3.380912748413366,0.8486891137268912
Denmark,Western Europe,7.583,1.908,1.52,0.699,0.823,0.204,0.548,2,2,3.3740067166211984,1.4439122399068456
Iceland,Western Europe,7.525,1.881,1.617,0.718,0.819,0.258,0.182,2,1,2.6035524916326076,1.0640943556639866
Sweden,Western Europe,7.344,1.878,1.501,0.724,0.838,0.221,0.524,2,2,3.372563048040212,1.6019676793789788
Israel,Middle East and North Africa,7.341,1.803,1.513,0.74,0.641,0.153,0.193,0,1,1.9382875285930308,-0.45463944565170444
Netherlands,Western Europe,7.319,1.901,1.462,0.706,0.725,0.247,0.372,2,2,2.6366654273817978,1.2656303032022858
Norway,Western Europe,7.302,1.952,1.517,0.704,0.835,0.224,0.484,2,2,3.316474676415759,1.5064905609916701
Luxembourg,Western Europe,7.122,2.141,1.355,0.708,0.801,0.146,0.432,2,2,3.041268785447977,0.38326764022182297
Switzerland,Western Europe,7.06,1.97,1.425,0.747,0.759,0.173,0.498,2,2,3.1550386543165825,0.7613265605709393
Australia,North America and ANZ,7.057,1.854,1.461,0.692,0.756,0.225,0.323,2,2,2.450103912412795,1.0151851726528698
New Zealand,North America and ANZ,7.029,1.81,1.527,0.673,0.746,0.226,0.48,2,2,2.830817882107534,1.4174006023103471
Costa Rica,Latin America and Caribbean,6.955,1.561,1.373,0.661,0.797,0.109,0.123,0,1,1.292254959264967,-0.4493502283009806
Kuwait,,6.951,1.845,1.364,0.661,0.827,0.2,0.172,0,1,1.9286424530773196,0.6149452452129941
Austria,Western Europe,6.905,1.885,1.336,0.696,0.703,0.214,0.305,2,2,2.131974648780774,0.7516768369449435
Canada,North America and ANZ,6.9,1.84,1.459,0.701,0.73,0.23,0.368,2,2,2.522689704686363,1.1183710797841995
